"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
99944,0.15911,1.4393e-013,0,348.38,0.15911,1,0,0,0.275,2
99919,0.22875,1.7532e-013,0,348.35,0.22875,1,0.1,0.1,0.275,2
99893,0.2984,2.0671e-013,0,348.32,0.2984,1,0.2,0.2,0.275,2
99867,0.36805,2.381e-013,0,348.3,0.36805,1,0.3,0.3,0.275,2
99823,0.48676,1.8954e-013,0,348.26,0.48676,1,0.4,0.4,0.275,2
99723,0.75268,-9.8872e-014,0,348.16,0.75268,1,0.5,0.5,0.275,2
99624,1.0186,-3.8728e-013,0,348.06,1.0186,1,0.6,0.6,0.275,2
99524,1.2845,-6.7569e-013,0,347.96,1.2845,1,0.7,0.7,0.275,2
99344,1.7578,-3.4016e-012,0,347.77,1.7578,1,0.8,0.8,0.275,2
99083,2.4386,-8.5651e-012,0,347.51,2.4386,1,0.9,0.9,0.275,2
98823,3.1193,-1.3729e-011,0,347.25,3.1193,1,1,1,0.275,2
98563,3.8,-1.8892e-011,0,346.99,3.8,1,1.1,1.1,0.275,2
98073,5.1021,-2.146e-011,0,346.5,5.1021,1,1.2,1.2,0.275,2
97507,6.6114,-2.3162e-011,0,345.92,6.6114,1,1.3,1.3,0.275,2
96940,8.1207,-2.4864e-011,0,345.35,8.1207,1,1.4,1.4,0.275,2
96374,9.63,-2.6567e-011,0,344.78,9.63,1,1.5,1.5,0.275,2
95329,12.485,-5.1582e-010,0,343.7,12.485,1,1.6,1.6,0.275,2
94283,15.341,-1.0051e-009,0,342.62,15.341,1,1.7,1.7,0.275,2
93238,18.196,-1.4943e-009,0,341.54,18.196,1,1.8,1.8,0.275,2
92050,21.492,-1.302e-009,0,340.3,21.492,1,1.9,1.9,0.275,2
90432,26.109,9.3512e-010,0,338.56,26.109,1,2,2,0.275,2
88814,30.727,3.1722e-009,0,336.83,30.727,1,2.1,2.1,0.275,2
87196,35.345,5.4093e-009,0,335.09,35.345,1,2.2,2.2,0.275,2
85352,40.875,-1.2052e-008,0,333.05,40.875,1,2.3,2.3,0.275,2
83280,47.32,-4.9212e-008,0,330.71,47.32,1,2.4,2.4,0.275,2
81208,53.764,-8.6372e-008,0,328.36,53.764,1,2.5,2.5,0.275,2
79137,60.208,-1.2353e-007,0,326.02,60.208,1,2.6,2.6,0.275,2
76899,67.62,-4.4536e-009,0,323.3,67.62,1,2.7,2.7,0.275,2
74605,75.354,1.667e-007,0,320.45,75.354,1,2.8,2.8,0.275,2
72311,83.088,3.3786e-007,0,317.61,83.088,1,2.9,2.9,0.275,2
70018,90.822,5.0902e-007,0,314.76,90.822,1,3,3,0.275,2
67789,99.195,-1.2848e-006,0,311.99,99.195,1,3.1,3.1,0.275,2
65561,107.57,-3.0786e-006,0,309.22,107.57,1,3.2,3.2,0.275,2
63332,115.94,-4.8724e-006,0,306.44,115.94,1,3.3,3.3,0.275,2
61165,124.36,-5.0045e-006,0,303.55,124.36,1,3.4,3.4,0.275,2
59183,132.9,-1.5169e-007,0,300.3,132.9,1,3.5,3.5,0.275,2
57201,141.44,4.7011e-006,0,297.05,141.44,1,3.6,3.6,0.275,2
55219,149.99,9.554e-006,0,293.8,149.99,1,3.7,3.7,0.275,2
53365,158.33,-1.4839e-005,0,290.9,158.33,1,3.8,3.8,0.275,2
51640,166.47,-6.8477e-005,0,288.35,166.47,1,3.9,3.9,0.275,2
49914,174.62,-0.00012211,0,285.8,174.62,1,4,4,0.275,2
48189,182.76,-0.00017575,0,283.25,182.76,1,4.1,4.1,0.275,2
46677,190.33,-0.00016606,0,281.43,190.33,1,4.2,4.2,0.275,2
45237,197.7,-0.00013525,0,279.85,197.7,1,4.3,4.3,0.275,2
43796,205.07,-0.00010444,0,278.28,205.07,1,4.4,4.4,0.275,2
42356,212.44,-7.3636e-005,0,276.7,212.44,1,4.5,4.5,0.275,2
41187,218.94,-0.0011257,0,273.42,218.94,1,4.6,4.6,0.275,2
40018,225.44,-0.0021778,0,270.14,225.44,1,4.7,4.7,0.275,2
38850,231.93,-0.0032298,0,266.85,231.93,1,4.8,4.8,0.275,2
37766,238.28,-0.0036455,0,263.72,238.28,1,4.9,4.9,0.275,2
36939,244.16,-0.0021522,0,261.04,244.16,1,5,5,0.275,2
36111,250.04,-0.00065878,0,258.36,250.04,1,5.1,5.1,0.275,2
35284,255.92,0.00083459,0,255.68,255.92,1,5.2,5.2,0.275,2
34608,261.34,-0.0041233,0,254.33,261.34,1,5.3,5.3,0.275,2
34083,266.31,-0.015532,0,254.31,266.31,1,5.4,5.4,0.275,2
33559,271.28,-0.026942,0,254.29,271.28,1,5.5,5.5,0.275,2
33035,276.24,-0.038351,0,254.28,276.24,1,5.6,5.6,0.275,2
32598,279.56,-0.023524,0,255.51,279.56,1,5.7,5.7,0.275,2
32191,282.34,4.8419e-005,0,257.17,282.34,1,5.8,5.8,0.275,2
31784,285.11,0.023621,0,258.83,285.11,1,5.9,5.9,0.275,2
31376,287.88,0.047193,0,260.48,287.88,1,6,6,0.275,2
31158,288.64,0.1106,0,266.84,288.64,1,6.1,6.1,0.275,2
30940,289.39,0.174,0,273.2,289.39,1,6.2,6.2,0.275,2
30722,290.15,0.2374,0,279.55,290.15,1,6.3,6.3,0.275,2
30553,290.72,0.30345,0,287.07,290.72,1,6.4,6.4,0.275,2
30532,290.73,0.3774,0,298.09,290.73,1,6.5,6.5,0.275,2
30512,290.75,0.45136,0,309.11,290.75,1,6.6,6.6,0.275,2
30492,290.76,0.52532,0,320.12,290.76,1,6.7,6.7,0.275,2
30498,290.07,0.61036,0,330.9,290.07,1,6.8,6.8,0.275,2
30531,288.67,0.70649,0,341.43,288.67,1,6.9,6.9,0.275,2
30563,287.28,0.80261,0,351.96,287.28,1,7,7,0.275,2
30596,285.88,0.89873,0,362.49,285.88,1,7.1,7.1,0.275,2
30618,284.54,0.95617,0,370.31,284.54,1,7.2,7.2,0.275,2
30635,283.22,1.0007,0,377.22,283.22,1,7.3,7.3,0.275,2
30653,281.9,1.0452,0,384.12,281.9,1,7.4,7.4,0.275,2
30671,280.58,1.0898,0,391.03,280.58,1,7.5,7.5,0.275,2
29794,289.1,0.82485,0,395.57,289.1,1,7.6,7.6,0.275,2
29070,295.65,0.44933,0,400.49,295.65,1,7.7,7.7,0.275,2
27745,227.9,-25.007,0,422.03,231.52,1,7.8,7.8,0.275,2
27535,229.75,-27.758,0,423.1,233.32,1,7.9,7.9,0.275,2
27371,231.05,-30.247,0,419.81,234.49,1,8,8,0.275,2
27192,232.83,-32.537,0,410.41,236.09,1,8.1,8.1,0.275,2
26988,234.78,-34.144,0,398.43,237.86,1,8.2,8.2,0.275,2
26744,235.77,-34.588,0,389.72,238.65,1,8.3,8.3,0.275,2
26400,234.75,-33.976,0,383.81,237.4,1,8.4,8.4,0.275,2
25770,229.27,-32.305,0,378.75,231.66,1,8.5,8.5,0.275,2
24327,214.26,-29.289,0,370.57,216.38,1,8.6,8.6,0.275,2
22012,186.11,-24.252,0,357.45,187.92,1,8.7,8.7,0.275,2
19025,145.39,-17.021,0,340.02,146.73,1,8.8,8.8,0.275,2
15615,96.562,-8.9679,0,319.5,97.296,1,8.9,8.9,0.275,2
12315,47.204,-2.9607,0,297.48,47.436,1,9,9,0.275,2
10502,13.32,-0.55316,0,282.88,13.366,1,9.1,9.1,0.275,2
10137,3.5721,-0.13921,0,279.86,3.5842,1,9.2,9.2,0.275,2
10033,0.84584,-0.032059,0,279.01,0.84874,1,9.3,9.3,0.275,2
10007,0.19125,-0.0077505,0,278.8,0.19194,1,9.4,9.4,0.275,2
10002,0.044947,-0.0020506,0,278.76,0.045125,1,9.5,9.5,0.275,2
10000,0.011661,-0.00060079,0,278.75,0.011711,1,9.6,9.6,0.275,2
10000,0.0033916,-0.00019035,0,278.75,0.0034071,1,9.7,9.7,0.275,2
10000,0.0010737,-6.2816e-005,0,278.75,0.0010787,1,9.8,9.8,0.275,2
10000,0.00034886,-2.0507e-005,0,278.75,0.00035043,1,9.9,9.9,0.275,2
10000,0.00014981,-8.8722e-006,0,278.75,0.00015049,1,10,10,0.275,2
